,Article,Sentence,Sentence Position,Sentence Length,Numeric Data,Thematic Words,Entropy,POS tags,TF-ISF,Aggregate Score,Busy Path,Title,Label
0,A1,S1,0.75,0.67,0.0,1.0,1.0,0.87,0.91,0.96,0.33,1.0,1.0
1,A1,S2,0.5,0.67,0.0,0.23,0.34,0.28,0.35,0.79,1.0,0.0,1.0
2,A1,S3,0.25,1.0,0.0,0.69,0.59,0.62,0.64,0.97,0.17,0.5,1.0
3,A1,S4,0.0,0.89,1.0,0.46,0.55,0.33,0.53,0.93,0.33,1.0,0.0
4,A1,S5,0.25,0.83,0.0,0.77,0.81,0.77,0.92,0.96,0.33,0.17,1.0
5,A1,S6,0.5,0.72,0.0,0.77,0.89,0.82,1.0,1.0,0.17,0.83,1.0
6,A1,S7,0.75,0.67,0.0,0.77,0.95,1.0,0.97,0.99,0.17,0.5,1.0
7,A1,S8,1.0,0.83,0.0,0.85,0.82,0.69,0.73,0.98,0.17,0.67,0.0
8,A2,S1,0.92,0.52,0.0,0.02,0.02,0.03,0.03,0.39,1.0,0.0,0.0
9,A2,S2,0.85,0.97,0.0,0.56,0.47,0.54,0.43,0.89,0.48,0.32,0.0
10,A2,S3,0.77,0.83,0.25,0.31,0.3,0.34,0.26,0.93,0.56,0.14,1.0
11,A2,S4,0.69,0.62,0.0,0.13,0.12,0.12,0.11,0.7,1.0,0.0,1.0
12,A2,S5,0.62,0.89,0.0,0.35,0.32,0.39,0.37,0.86,0.6,0.14,0.0
13,A2,S6,0.54,0.89,0.25,0.48,0.48,0.29,0.22,0.89,0.44,0.64,0.0
14,A2,S7,0.46,0.86,0.0,0.41,0.41,0.3,0.24,0.92,0.52,0.23,0.0
15,A2,S8,0.38,0.81,0.25,0.3,0.3,0.24,0.24,0.89,0.64,0.32,0.0
16,A2,S9,0.31,0.7,0.0,0.24,0.22,0.16,0.13,0.8,0.8,0.18,1.0
17,A2,S10,0.23,0.94,0.25,0.57,0.53,0.49,0.41,0.85,0.56,0.23,0.0
18,A2,S11,0.15,0.97,0.25,0.46,0.43,0.5,0.36,0.95,0.24,0.32,0.0
19,A2,S12,0.08,0.97,0.25,0.43,0.44,0.59,0.45,1.0,0.16,0.32,0.0
20,A2,S13,0.0,0.52,0.0,1.0,1.0,1.0,1.0,0.72,1.0,1.0,0.0
21,A2,S14,0.08,0.75,0.0,0.3,0.24,0.19,0.14,0.85,0.72,0.32,0.0
22,A2,S15,0.15,0.98,0.0,0.5,0.42,0.43,0.34,0.85,0.64,0.23,0.0
23,A2,S16,0.23,0.77,1.0,0.74,0.66,0.76,0.72,0.78,0.84,0.55,0.0
24,A2,S17,0.31,0.92,0.0,0.37,0.35,0.47,0.42,0.91,0.44,0.27,0.0
25,A2,S18,0.38,0.95,0.75,0.54,0.45,0.51,0.47,0.87,0.56,0.18,0.0
26,A2,S19,0.46,0.81,0.0,0.31,0.29,0.3,0.28,0.89,0.64,0.18,0.0
27,A2,S20,0.54,0.73,0.25,0.28,0.24,0.25,0.16,0.82,0.76,0.23,0.0
28,A2,S21,0.62,0.91,0.0,0.33,0.33,0.45,0.35,0.87,0.48,0.27,0.0
29,A2,S22,0.69,0.72,0.0,0.22,0.21,0.19,0.15,0.79,0.76,0.14,0.0
30,A2,S23,0.77,0.86,0.5,0.31,0.29,0.26,0.33,0.86,0.68,0.23,0.0
31,A2,S24,0.85,0.97,0.25,0.37,0.39,0.4,0.42,0.88,0.52,0.18,0.0
32,A2,S25,0.92,0.72,0.25,0.19,0.17,0.17,0.2,0.82,0.8,0.14,0.0
33,A2,S26,1.0,0.91,0.25,0.56,0.54,0.65,0.47,0.81,0.64,0.27,0.0
34,A3,S1,0.82,0.93,0.0,0.67,0.81,0.69,0.41,0.98,0.56,0.9,1.0
35,A3,S2,0.64,0.9,1.0,0.56,0.68,0.53,0.44,0.99,0.44,1.0,0.0
36,A3,S3,0.45,0.68,0.0,0.41,0.46,0.63,0.39,0.75,1.0,0.1,1.0
37,A3,S4,0.27,0.97,0.0,0.81,0.92,0.95,0.46,0.91,0.56,0.9,1.0
38,A3,S5,0.09,0.88,0.0,0.89,1.0,0.97,0.53,1.0,0.44,0.9,1.0
39,A3,S6,0.09,0.8,0.0,0.56,0.61,0.65,0.33,0.87,0.89,0.4,1.0
40,A3,S7,0.27,0.72,0.0,0.44,0.51,0.5,0.24,0.9,0.89,0.1,0.0
41,A3,S8,0.45,1.0,0.0,0.81,0.93,0.81,0.44,0.97,0.56,0.5,1.0
42,A3,S9,0.64,0.68,0.0,1.0,0.98,1.0,1.0,0.82,0.89,0.9,1.0
